CD/State,Num per 1000,Region
AL1,362.72189349112426,Congressional District
AL2,396.1840628507295,Congressional District
AL3,334.91969066032124,Congressional District
AL4,500.0,Congressional District
AL5,209.45945945945945,Congressional District
AL6,425.66943674976915,Congressional District
AL7,631.6614420062696,Congressional District
AR1,1812.6022913256957,Congressional District
AR2,2222.7873855544253,Congressional District
AR3,801.4842300556586,Congressional District
AR4,2048.4848484848485,Congressional District
AS0,31181.81818181818,Congressional District
AZ1,908.8471849865952,Congressional District
AZ2,2189.189189189189,Congressional District
AZ3,789.4736842105264,Congressional District
AZ4,1253.968253968254,Congressional District
AZ5,0.0,Congressional District
AZ6,32.78688524590164,Congressional District
AZ7,700.0,Congressional District
AZ8,647.0588235294117,Congressional District
AZ9,125.0,Congressional District
CA1,4133.858267716535,Congressional District
CA10,1853.658536585366,Congressional District
CA12,1733.3333333333333,Congressional District
CA13,377.90697674418607,Congressional District
CA14,385.5421686746988,Congressional District
CA15,713.375796178344,Congressional District
CA16,1122.1374045801526,Congressional District
CA17,536.6666666666666,Congressional District
CA18,1015.625,Congressional District
CA19,801.8867924528302,Congressional District
CA2,1627.7602523659307,Congressional District
CA20,1531.791907514451,Congressional District
CA21,833.3333333333334,Congressional District
CA22,1301.8867924528302,Congressional District
CA23,1311.3207547169811,Congressional District
CA24,1404.1811846689895,Congressional District
CA25,1195.6521739130435,Congressional District
CA26,1220.0488997555012,Congressional District
CA27,1362.0689655172414,Congressional District
CA28,1787.2340425531916,Congressional District
CA29,2030.120481927711,Congressional District
CA3,2329.004329004329,Congressional District
CA30,1377.7777777777778,Congressional District
CA31,925.2336448598131,Congressional District
CA32,1547.6923076923076,Congressional District
CA34,1580.0,Congressional District
CA35,1712.5827814569536,Congressional District
CA36,2302.1582733812947,Congressional District
CA37,666.6666666666666,Congressional District
CA38,1246.2462462462463,Congressional District
CA39,3367.3469387755104,Congressional District
CA4,3731.1827956989246,Congressional District
CA40,1570.6214689265537,Congressional District
CA41,1475.9358288770054,Congressional District
CA42,1472.636815920398,Congressional District
CA43,879.5180722891566,Congressional District
CA44,1731.6455696202531,Congressional District
CA45,1610.6194690265486,Congressional District
CA46,3296.943231441048,Congressional District
CA47,2355.5555555555557,Congressional District
CA48,2217.948717948718,Congressional District
CA49,1168.2242990654206,Congressional District
CA5,753.5816618911175,Congressional District
CA50,1064.2570281124497,Congressional District
CA51,2303.6649214659687,Congressional District
CA52,1017.0454545454545,Congressional District
CA53,882.9787234042553,Congressional District
CA6,1791.36690647482,Congressional District
CA7,4288.888888888889,Congressional District
CA8,1808.3832335329341,Congressional District
CA9,2632.2869955156953,Congressional District
CO1,1709.2511013215858,Congressional District
CO2,1623.059866962306,Congressional District
CO3,2569.678407350689,Congressional District
CO4,1709.9669343410487,Congressional District
CO5,1627.450980392157,Congressional District
CO6,462.91866028708137,Congressional District
CO7,1338.255033557047,Congressional District
CT1,466.4634146341463,Congressional District
CT2,831.7757009345794,Congressional District
CT3,683.1683168316831,Congressional District
CT4,1043.7158469945355,Congressional District
CT5,721.0031347962382,Congressional District
DC0,396.55172413793105,Congressional District
DE0,1051.2820512820513,Congressional District
FL1,378.8748564867968,Congressional District
FL10,130.54607508532422,Congressional District
FL11,152.13675213675214,Congressional District
FL12,161.4654002713704,Congressional District
FL13,365.98890942698705,Congressional District
FL14,207.45920745920745,Congressional District
FL15,226.7605633802817,Congressional District
FL16,198.2421875,Congressional District
FL17,318.9655172413793,Congressional District
FL18,226.72064777327935,Congressional District
FL2,312.74131274131275,Congressional District
FL20,107.2,Congressional District
FL21,113.11053984575835,Congressional District
FL22,112.99435028248588,Congressional District
FL23,62.22222222222222,Congressional District
FL24,31.914893617021278,Congressional District
FL25,44.705882352941174,Congressional District
FL26,52.84552845528455,Congressional District
FL27,71.68458781362007,Congressional District
FL3,195.07908611599296,Congressional District
FL4,223.81477398015434,Congressional District
FL5,273.6418511066398,Congressional District
FL6,300.76838638858396,Congressional District
FL7,103.77358490566037,Congressional District
FL8,148.8372093023256,Congressional District
FL9,166.66666666666666,Congressional District
GA1,580.6997742663657,Congressional District
GA10,247.2085752568111,Congressional District
GA11,172.8534995749504,Congressional District
GA12,345.0106157112526,Congressional District
GA13,82.01345194185289,Congressional District
GA14,296.75324675324674,Congressional District
GA2,786.8852459016393,Congressional District
CA11,778.9473684210526,Congressional District
CA33,1258.6206896551723,Congressional District
FL19,182.08661417322836,Congressional District
GA3,193.98258115597784,Congressional District
IL17,5032.154340836013,Congressional District
KY3,641.7910447761194,Congressional District
MD5,1319.526627218935,Congressional District
MN4,25.0,Congressional District
NC2,362.9242819843342,Congressional District
NJ8,1670.6586826347304,Congressional District
NY23,2844.4108761329303,Congressional District
OH7,2949.1978609625667,Congressional District
PA4,611.9536128456735,Congressional District
TN9,193.5483870967742,Congressional District
TX30,51.48005148005148,Congressional District
VA5,434.48275862068965,Congressional District
GA4,408.7144400432121,Congressional District
GA5,378.8105947026487,Congressional District
GA6,100.8537886872999,Congressional District
GA7,124.6797608881298,Congressional District
GA8,510.4895104895105,Congressional District
GA9,222.99455194439227,Congressional District
GU0,2487.3949579831933,Congressional District
HI1,1704.0816326530612,Congressional District
HI2,752.9107373868046,Congressional District
IA1,5401.937046004843,Congressional District
IA2,4553.191489361702,Congressional District
IA3,4021.9298245614036,Congressional District
IA4,2864.9068322981366,Congressional District
ID1,1565.6645569620252,Congressional District
ID2,1626.6666666666667,Congressional District
IL1,1889.763779527559,Congressional District
IL10,1604.3478260869565,Congressional District
IL11,2069.1056910569105,Congressional District
IL12,3903.2738095238096,Congressional District
IL13,4233.870967741936,Congressional District
IL14,2180.6930693069307,Congressional District
IL15,4798.726114649681,Congressional District
IL16,3968.1159420289855,Congressional District
IL18,5240.79754601227,Congressional District
IL2,1819.8757763975154,Congressional District
IL3,1247.7064220183486,Congressional District
IL4,750.0,Congressional District
IL5,847.8260869565217,Congressional District
IL6,1782.608695652174,Congressional District
IL7,484.2105263157895,Congressional District
IL8,1580.9128630705395,Congressional District
IL9,1157.142857142857,Congressional District
IN1,772.7272727272727,Congressional District
IN2,614.3617021276596,Congressional District
IN3,776.8924302788845,Congressional District
IN4,738.0073800738007,Congressional District
IN5,404.8991354466859,Congressional District
IN6,1289.6218825422366,Congressional District
IN7,78.23613086770982,Congressional District
IN8,1153.3002129169624,Congressional District
IN9,641.7445482866044,Congressional District
KS1,430.67590987868283,Congressional District
KS2,415.11500547645124,Congressional District
KS3,89.24205378973105,Congressional District
KS4,162.43654822335026,Congressional District
KY1,1703.1930333817127,Congressional District
KY2,1250.4051863857374,Congressional District
KY4,748.1481481481482,Congressional District
KY5,1768.1737588652481,Congressional District
KY6,1370.262390670554,Congressional District
LA1,1460.5781865965835,Congressional District
LA2,1629.4458229942102,Congressional District
LA3,1983.3574529667148,Congressional District
LA4,3615.7283288650583,Congressional District
LA5,3264.337508239947,Congressional District
LA6,2280.7394668959587,Congressional District
MA1,308.31973898858075,Congressional District
MA2,904.1095890410959,Congressional District
MA3,293.57798165137615,Congressional District
MA4,526.9978401727861,Congressional District
MA5,376.0217983651226,Congressional District
MA6,247.0817120622568,Congressional District
MA7,105.74018126888218,Congressional District
MA8,401.7278617710583,Congressional District
MA9,314.2857142857143,Congressional District
MD1,1028.2447881640887,Congressional District
MD2,685.61872909699,Congressional District
MD3,408.28402366863907,Congressional District
MD4,528.5714285714286,Congressional District
MD6,807.8994614003591,Congressional District
MD7,525.0,Congressional District
MD8,808.1761006289308,Congressional District
ME1,483.61934477379094,Congressional District
ME2,653.9473684210526,Congressional District
MI1,6755.474452554745,Congressional District
MI10,5793.871866295264,Congressional District
MI11,3409.722222222222,Congressional District
MI12,6150.684931506849,Congressional District
MI13,9862.5,Congressional District
MI14,5885.245901639344,Congressional District
MI2,4675.373134328358,Congressional District
MI3,6014.634146341464,Congressional District
MI4,6608.5626911314985,Congressional District
MI5,6576.576576576576,Congressional District
MI6,7286.6894197952215,Congressional District
MI7,8614.649681528663,Congressional District
MI8,3271.375464684015,Congressional District
MI9,1986.013986013986,Congressional District
MN1,347.31934731934734,Congressional District
MN2,542.3728813559322,Congressional District
MN3,161.29032258064515,Congressional District
MN5,86.95652173913044,Congressional District
MN6,1212.5,Congressional District
MN7,641.025641025641,Congressional District
MN8,467.35395189003435,Congressional District
MO1,1219.3732193732194,Congressional District
MO2,1666.2011173184358,Congressional District
MO3,3915.9393661001377,Congressional District
MO4,3577.4647887323945,Congressional District
MO5,1344.9131513647642,Congressional District
MO6,2673.4947237740535,Congressional District
MO7,2625.0742721330957,Congressional District
MO8,3938.058748403576,Congressional District
MP0,6371.428571428572,Congressional District
MS1,629.7948260481713,Congressional District
MS2,1002.1321961620469,Congressional District
MS3,632.2992700729927,Congressional District
MS4,562.929061784897,Congressional District
MT0,1158.3054626532887,Congressional District
NC1,306.35838150289015,Congressional District
NC10,686.8686868686868,Congressional District
NC11,811.5942028985507,Congressional District
NC12,109.33333333333333,Congressional District
NC13,449.4773519163763,Congressional District
NC3,701.271186440678,Congressional District
NC4,229.38144329896906,Congressional District
NC5,478.59922178988325,Congressional District
NC6,360.5263157894737,Congressional District
NC7,584.7665847665847,Congressional District
NC8,865.3366583541147,Congressional District
NC9,441.6243654822335,Congressional District
NE1,1546.485260770975,Congressional District
NE2,1178.5714285714287,Congressional District
NE3,1421.2076583210603,Congressional District
NH1,261.4942528735632,Congressional District
NH2,365.0075414781297,Congressional District
NJ1,1653.3333333333333,Congressional District
NJ10,1496.7320261437908,Congressional District
NJ11,1339.7190293742017,Congressional District
NJ12,1181.5336463223787,Congressional District
NJ2,1461.4003590664272,Congressional District
NJ3,1057.2419774501302,Congressional District
NJ4,1103.1652989449003,Congressional District
NJ5,1119.1335740072202,Congressional District
NJ6,1812.1911037891268,Congressional District
NJ7,1258.7859424920127,Congressional District
NJ9,1697.0172684458398,Congressional District
NM1,136.11111111111111,Congressional District
NM2,277.9316712834718,Congressional District
NM3,824.3243243243244,Congressional District
NV1,31.29890453834116,Congressional District
NV2,75.8873929008568,Congressional District
NV3,12.318840579710145,Congressional District
NV4,11.019283746556473,Congressional District
NY1,2605.8201058201057,Congressional District
NY10,1160.0,Congressional District
NY11,2305.5555555555557,Congressional District
NY12,3563.3802816901407,Congressional District
NY13,11833.333333333334,Congressional District
NY14,3507.4626865671644,Congressional District
NY15,6675.0,Congressional District
NY16,3882.3529411764707,Congressional District
NY17,2400.8097165991903,Congressional District
NY18,2703.125,Congressional District
NY19,3113.868613138686,Congressional District
NY2,3075.8928571428573,Congressional District
NY20,2844.9612403100773,Congressional District
NY21,3336.7741935483873,Congressional District
NY22,2456.4007421150277,Congressional District
NY24,2571.1297071129707,Congressional District
NY25,1439.655172413793,Congressional District
NY26,2575.0,Congressional District
NY27,2822.3801065719363,Congressional District
NY3,1841.1764705882354,Congressional District
NY4,3404.040404040404,Congressional District
NY5,4705.882352941177,Congressional District
NY6,2000.0,Congressional District
NY7,2913.0434782608695,Congressional District
NY8,4826.086956521739,Congressional District
NY9,23500.0,Congressional District
OH1,3147.2868217054265,Congressional District
OH10,1961.1650485436894,Congressional District
OH11,1609.375,Congressional District
OH12,3754.285714285714,Congressional District
OH13,5640.883977900552,Congressional District
OH14,4102.756892230576,Congressional District
OH15,4872.340425531915,Congressional District
OH16,4528.384279475982,Congressional District
OH2,2864.705882352941,Congressional District
OH3,1159.090909090909,Congressional District
OH4,3426.190476190476,Congressional District
OH5,3728.3582089552237,Congressional District
OH6,3313.9013452914796,Congressional District
OH8,2608.187134502924,Congressional District
OH9,2419.5804195804194,Congressional District
OK1,5831.858407079646,Congressional District
OK2,5502.7027027027025,Congressional District
OK3,4017.3010380622836,Congressional District
OK4,3169.1176470588234,Congressional District
OK5,4619.047619047619,Congressional District
OR1,87.5,Congressional District
OR2,383.6363636363636,Congressional District
OR3,97.12230215827338,Congressional District
OR4,224.75106685633003,Congressional District
OR5,111.9186046511628,Congressional District
PA1,710.0840336134454,Congressional District
PA10,1034.1176470588234,Congressional District
PA11,716.71826625387,Congressional District
PA12,834.5195729537367,Congressional District
PA13,286.27450980392155,Congressional District
PA14,775.0556792873051,Congressional District
PA15,1294.228949858089,Congressional District
PA16,817.1846435100548,Congressional District
PA17,1185.2654387865655,Congressional District
PA18,816.3962425277541,Congressional District
PA2,116.66666666666667,Congressional District
PA3,520.2143205065757,Congressional District
PA5,591.2148793035219,Congressional District
PA6,487.94489092996554,Congressional District
PA7,1119.718309859155,Congressional District
PA8,1602.9579067121729,Congressional District
PA9,532.777115613826,Congressional District
PR0,8976.897689768977,Congressional District
RI1,1217.557251908397,Congressional District
RI2,1425.0,Congressional District
SC1,496.2406015037594,Congressional District
SC2,1428.5714285714287,Congressional District
SC3,1409.4202898550725,Congressional District
SC4,236.28691983122363,Congressional District
SC5,1080.5369127516778,Congressional District
SC6,1320.0,Congressional District
SC7,1617.391304347826,Congressional District
TN1,326.9230769230769,Congressional District
TN2,225.95078299776287,Congressional District
TN3,337.94466403162056,Congressional District
TN4,328.6494925839188,Congressional District
TN5,134.29951690821255,Congressional District
TN6,369.8412698412698,Congressional District
TN7,560.5504587155963,Congressional District
TN8,650.9635974304068,Congressional District
TX1,1005.7142857142857,Congressional District
TX10,225.36136662286467,Congressional District
TX11,368.28859060402687,Congressional District
TX12,152.87958115183247,Congressional District
TX13,482.7586206896552,Congressional District
TX14,749.5256166982922,Congressional District
TX15,363.95147313691507,Congressional District
TX16,61.705989110707804,Congressional District
TX17,401.59574468085106,Congressional District
TX18,234.43223443223442,Congressional District
TX19,107.59493670886076,Congressional District
TX2,249.12280701754386,Congressional District
TX20,9.784735812133073,Congressional District
TX21,74.66918714555766,Congressional District
TX22,192.95302013422818,Congressional District
TX23,265.37216828478967,Congressional District
TX24,3.9761431411530817,Congressional District
TX25,353.3333333333333,Congressional District
TX26,175.2199413489736,Congressional District
TX27,807.9268292682926,Congressional District
TX28,320.5689277899344,Congressional District
TX29,430.6930693069307,Congressional District
TX3,37.46397694524496,Congressional District
TX31,166.44736842105263,Congressional District
TX32,140.66496163682865,Congressional District
TX33,18.75,Congressional District
TX34,566.2878787878788,Congressional District
TX35,54.367201426024955,Congressional District
TX36,877.1067415730337,Congressional District
TX4,958.5987261146497,Congressional District
TX5,428.29457364341084,Congressional District
TX6,193.23241317898487,Congressional District
TX7,370.70938215102973,Congressional District
TX8,422.0779220779221,Congressional District
TX9,91.22006841505132,Congressional District
UT1,115.64192417967506,Congressional District
UT2,63.265306122448976,Congressional District
UT3,73.59125315391086,Congressional District
UT4,61.7678381256656,Congressional District
VA1,643.0769230769231,Congressional District
VA10,381.69642857142856,Congressional District
VA11,673.469387755102,Congressional District
VA2,1376.3440860215053,Congressional District
VA3,970.1492537313433,Congressional District
VA4,707.7464788732394,Congressional District
VA6,345.02923976608184,Congressional District
VA7,339.08045977011494,Congressional District
VA8,844.8275862068965,Congressional District
VA9,356.16438356164383,Congressional District
VI0,6938.775510204082,Congressional District
WA1,6464.419475655431,Congressional District
WA10,6759.036144578313,Congressional District
WA2,6882.703777335984,Congressional District
WA3,9299.847792998478,Congressional District
WA4,7872.909698996656,Congressional District
WA5,10159.420289855072,Congressional District
WA6,7873.170731707317,Congressional District
WA7,7875.5364806866955,Congressional District
WA8,8222.222222222223,Congressional District
WA9,10785.046728971962,Congressional District
WI1,396.8253968253968,Congressional District
WI2,681.8181818181819,Congressional District
WI3,953.781512605042,Congressional District
WI4,1692.3076923076924,Congressional District
WI5,767.1232876712329,Congressional District
WI6,621.0045662100457,Congressional District
WI7,1067.1378091872791,Congressional District
WI8,514.2857142857143,Congressional District
WV1,1673.0038022813687,Congressional District
WV2,1535.263319987681,Congressional District
WV3,2577.3294908741595,Congressional District
WY0,1073.024523160763,Congressional District
